"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Preferred Band","RoamingPreferredBandType","1. No Preference","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band PossibleRegistryValues: 0; 1; 2; 3; 4"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SkipOverDtimEnable","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SKU_CAP","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SoftwareRadioOff","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SwRadioState","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SystemAllowedAntennas","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","TGeEnableBits","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Throughput Booster","ThroughputBoosterEnabled","Disabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","U-APSD support","uAPSDSupport","Disabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","UcodeVersion","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","802.11a/b/g Wireless Mode","WirelessMode","6. Dual Band 802.11a/b/g","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g PossibleRegistryValues: 17; 0; 16; 32; 18; 34"
