"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Wake on Pattern Match","*WakeOnPattern","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","AdapterModel","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","AtomMaxDpcTime","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","BaEnable","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","BusType","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","ChannelMaskBand24B","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","ChannelMaskBand24G","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","ChannelMaskBand52","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","ChannelMaskBand52J","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Channel Width for 2.4GHz","ChannelWidth24","Auto","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Channel Width for 5GHz","ChannelWidth52","Auto","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Channel Width for 6GHz","ChannelWidth6","Auto","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","Characteristics","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","CLSGUID","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
